#{"t_start": 1788790433.7420359, "env_id": "None"}
r,l,t
131.2536,300,666.879553
289.63626,300,666.879664
254.29706,300,666.879678
76.78897,300,666.879685
111.57039,300,666.879693
441.19373,300,666.8797
298.58203,300,666.879707
297.3204,300,666.879716
122.80224,300,666.879723
217.81427,300,666.879729
152.81778,300,666.879735
237.97397,300,666.879741
81.10808,300,666.879748
351.8272,300,666.879754
126.06517,300,666.879759
246.56935,300,666.879765
130.35147,300,666.879771
58.932564,300,666.879776
136.15086,300,666.879782
180.24411,300,666.879788
428.01913,300,666.879793
50.067192,300,666.879799
98.929054,300,666.879806
168.37335,300,666.879812
85.610756,300,666.879817
223.91699,300,666.879824
-2601.6357,300,666.879831
134.90549,300,666.87984
20.757898,300,666.879848
282.61813,300,666.879855
139.5061,300,666.879862
193.0964,300,666.879868
352.18866,300,666.879874
393.78305,300,666.87988
345.03873,300,666.879886
101.901405,300,666.879892
65.879196,300,666.879897
256.7052,300,666.879903
105.97423,300,666.879909
272.2454,300,666.879914
186.43053,300,666.87992
90.271,300,666.879926
426.56033,300,666.879933
174.71335,300,666.879938
312.56174,300,666.879944
-2291.723,300,666.879951
102.24868,300,666.879957
413.70593,300,666.879962
189.37933,300,1333.16401
312.46396,300,1333.164097
304.546,300,1333.164109
66.00029,300,1333.164116
134.48305,300,1333.164122
514.5587,300,1333.164144
326.97345,300,1333.16415
431.56924,300,1333.164156
254.58347,300,1333.164162
271.5189,300,1333.164168
214.58696,300,1333.164175
236.98825,300,1333.164181
107.30566,300,1333.164188
409.58685,300,1333.164194
143.37776,300,1333.1642
448.68896,300,1333.164205
140.89032,300,1333.164211
46.10188,300,1333.164217
203.17595,300,1333.164223
267.30542,300,1333.164229
515.17847,300,1333.164235
-1708.5752,300,1333.164241
105.675735,300,1333.164248
257.04218,300,1333.164253
82.914986,300,1333.164259
221.3059,300,1333.164265
16.746214,300,1333.164271
147.11826,300,1333.164277
91.17578,300,1333.164283
314.21426,300,1333.164289
192.07387,300,1333.164295
302.18967,300,1333.164301
426.74927,300,1333.164308
486.14746,300,1333.164313
340.47342,300,1333.164319
166.35739,300,1333.164325
54.68147,300,1333.16433
272.91708,300,1333.164336
159.04422,300,1333.164342
338.6414,300,1333.164347
198.01163,300,1333.164353
175.95517,300,1333.164359
504.4757,300,1333.164365
310.23416,300,1333.164371
288.46423,300,1333.164376
13.232943,300,1333.164382
91.82013,300,1333.164387
445.84454,300,1333.164393
182.35364,300,1962.241596
394.66312,300,1962.241689
406.87146,300,1962.241701
86.80082,300,1962.241709
206.68633,300,1962.241716
563.0449,300,1962.241722
421.67337,300,1962.241728
502.754,300,1962.241734
277.355,300,1962.24174
334.19797,300,1962.241747
187.51207,300,1962.241753
278.66806,300,1962.241759
145.9104,300,1962.241766
478.05023,300,1962.241772
145.15259,300,1962.241778
480.7092,300,1962.241784
165.66386,300,1962.24179
61.962814,300,1962.241796
165.49591,300,1962.241802
276.417,300,1962.241807
566.11816,300,1962.241813
60.53816,300,1962.241819
122.377655,300,1962.241826
294.79535,300,1962.241832
90.73409,300,1962.241838
260.0959,300,1962.241845
36.20942,300,1962.241851
173.22502,300,1962.241857
104.315346,300,1962.241863
395.513,300,1962.241869
213.32669,300,1962.241875
321.18842,300,1962.241881
472.8291,300,1962.241898
596.4879,300,1962.241904
420.75476,300,1962.241909
161.15103,300,1962.241915
70.22866,300,1962.241921
353.25974,300,1962.241926
159.549,300,1962.241932
380.4149,300,1962.241938
236.79874,300,1962.241943
196.18167,300,1962.241951
531.6986,300,1962.241957
373.3053,300,1962.241963
372.3172,300,1962.241969
-2167.4023,300,1962.241975
109.84189,300,1962.24198
501.30182,300,1962.241986
152.34056,300,2629.46759
261.6577,300,2629.467679
247.6867,300,2629.467691
98.184166,300,2629.467699
180.78046,300,2629.467705
444.3059,300,2629.467712
291.3993,300,2629.467719
429.53088,300,2629.467726
206.55788,300,2629.467732
208.645,300,2629.467738
166.8986,300,2629.467749
196.61118,300,2629.467755
136.34415,300,2629.467762
374.02475,300,2629.467768
121.549164,300,2629.467775
335.5488,300,2629.467781
148.19762,300,2629.467787
72.20244,300,2629.467793
156.03685,300,2629.467799
175.07152,300,2629.467805
448.24774,300,2629.467811
63.97618,300,2629.467817
121.57418,300,2629.467824
173.3422,300,2629.46783
86.40555,300,2629.467836
197.9478,300,2629.467843
36.492336,300,2629.467849
152.49913,300,2629.467855
111.52704,300,2629.467861
263.41455,300,2629.467867
152.7541,300,2629.467873
208.89256,300,2629.467879
372.0052,300,2629.467885
453.6744,300,2629.467891
306.92758,300,2629.467897
115.671364,300,2629.467903
73.39058,300,2629.467908
226.78319,300,2629.467914
124.01877,300,2629.46792
248.49474,300,2629.467926
182.4046,300,2629.467932
134.72894,300,2629.467938
415.58777,300,2629.467944
234.63217,300,2629.46795
268.95355,300,2629.467956
34.28525,300,2629.467961
113.47431,300,2629.467967
402.07312,300,2629.467973
224.56966,300,3311.68784
451.57956,300,3311.687938
431.50073,300,3311.687953
-750.11444,300,3311.68796
232.61522,300,3311.687966
661.92163,300,3311.687972
466.58502,300,3311.687978
523.06445,300,3311.687984
258.14825,300,3311.68799
357.3432,300,3311.687996
238.23761,300,3311.688002
373.90768,300,3311.688008
163.17125,300,3311.688021
550.854,300,3311.688027
202.26508,300,3311.688033
504.89325,300,3311.688039
217.89388,300,3311.688044
-279.80664,300,3311.68805
241.88571,300,3311.688056
287.5768,300,3311.688062
672.6072,300,3311.688068
-1539.5935,300,3311.688074
178.7289,300,3311.688081
304.493,300,3311.688088
-141.99463,300,3311.688093
349.90466,300,3311.6881
-3166.6377,300,3311.688106
228.27147,300,3311.688112
150.15645,300,3311.688118
491.34723,300,3311.688124
259.89474,300,3311.688138
343.1391,300,3311.688144
546.6355,300,3311.688151
638.6577,300,3311.688157
495.04233,300,3311.688163
177.65657,300,3311.688169
-1269.0027,300,3311.688174
426.3103,300,3311.68818
171.00839,300,3311.688186
490.20844,300,3311.688192
316.00784,300,3311.688198
168.11609,300,3311.688204
640.9785,300,3311.68821
377.02362,300,3311.688216
463.88373,300,3311.688222
-2426.349,300,3311.688228
167.06622,300,3311.688234
605.69147,300,3311.688239
271.5035,300,4042.149514
373.38263,300,4042.149608
356.23718,300,4042.14962
94.873985,300,4042.149628
243.13686,300,4042.149635
546.62,300,4042.149642
406.64832,300,4042.149648
541.48865,300,4042.149655
323.08136,300,4042.149662
307.6581,300,4042.149668
267.38165,300,4042.149674
332.15723,300,4042.14968
175.33334,300,4042.149687
454.11874,300,4042.149694
168.36427,300,4042.1497
454.27664,300,4042.149706
184.76314,300,4042.149712
81.363525,300,4042.149718
237.09283,300,4042.149724
308.4458,300,4042.14973
557.0055,300,4042.149736
65.628525,300,4042.149742
145.83983,300,4042.149749
275.4189,300,4042.149756
96.794945,300,4042.149762
287.4863,300,4042.149768
38.660442,300,4042.149774
200.5144,300,4042.149781
115.32921,300,4042.149786
425.7433,300,4042.149792
225.37428,300,4042.149798
314.93106,300,4042.149804
461.69943,300,4042.149811
597.71295,300,4042.149817
400.93057,300,4042.149822
198.81236,300,4042.149828
84.70391,300,4042.149834
351.75336,300,4042.14984
155.76419,300,4042.149846
479.63007,300,4042.149851
258.11218,300,4042.149857
224.06201,300,4042.149863
525.3899,300,4042.14987
429.75885,300,4042.149875
373.35583,300,4042.149881
50.323177,300,4042.149887
114.499825,300,4042.149893
532.23145,300,4042.149899
221.75322,300,4782.719753
410.2092,300,4782.719847
399.155,300,4782.719858
112.97516,300,4782.719866
179.6586,300,4782.719872
549.6468,300,4782.719878
422.46326,300,4782.719885
493.34094,300,4782.719891
193.67928,300,4782.719897
335.38773,300,4782.719903
234.4302,300,4782.719909
363.1306,300,4782.719915
127.527054,300,4782.719922
469.2229,300,4782.719928
201.7255,300,4782.719934
434.41663,300,4782.71994
223.02255,300,4782.719946
87.18795,300,4782.719951
199.02504,300,4782.719957
289.8421,300,4782.719963
556.0918,300,4782.719974
67.300186,300,4782.71998
152.8105,300,4782.719987
299.7741,300,4782.719992
128.18501,300,4782.719999
335.57306,300,4782.720005
38.71188,300,4782.720011
238.62404,300,4782.720017
151.87006,300,4782.720023
428.848,300,4782.720029
261.21008,300,4782.720035
297.9359,300,4782.720041
477.28522,300,4782.720048
595.1579,300,4782.720054
436.35376,300,4782.720059
152.88658,300,4782.720065
109.233765,300,4782.720071
388.9213,300,4782.720077
170.36821,300,4782.720083
466.06506,300,4782.72009
320.83405,300,4782.720096
139.97803,300,4782.720102
525.9189,300,4782.720109
405.60382,300,4782.720114
409.23755,300,4782.72012
50.70837,300,4782.720132
175.07947,300,4782.720138
503.1324,300,4782.720144
282.24893,300,5528.37022
445.10986,300,5528.37043
432.59573,300,5528.370442
119.488976,300,5528.37045
195.68196,300,5528.370458
610.5729,300,5528.370464
468.14627,300,5528.37047
443.4384,300,5528.370476
280.4944,300,5528.370482
392.24475,300,5528.370488
323.00696,300,5528.370494
420.341,300,5528.370501
150.15315,300,5528.370508
537.67566,300,5528.370514
247.35896,300,5528.37052
470.5635,300,5528.370526
284.00076,300,5528.370532
95.16753,300,5528.370538
221.14116,300,5528.370543
354.98862,300,5528.370549
611.6989,300,5528.370555
53.250282,300,5528.370561
