#{"t_start": 1788794004.9572427, "env_id": "None"}
r,l,t
228.03857,300,631.137153
133.33687,300,631.137257
515.4502,300,631.137269
528.1854,300,631.137277
275.4752,300,631.137284
508.61145,300,631.137291
269.0717,300,631.137297
471.6259,300,631.137306
429.46198,300,631.137313
181.8842,300,631.13732
242.84453,300,631.137326
523.0408,300,631.137333
473.02963,300,631.13734
352.5448,300,631.137347
299.87543,300,631.137353
367.60635,300,631.137358
290.07034,300,631.137364
391.10022,300,631.13737
195.47166,300,631.137376
480.54498,300,631.137382
234.84755,300,631.137388
381.9217,300,631.137394
294.81952,300,631.137401
141.68488,300,631.137407
275.18158,300,631.137413
307.39816,300,631.137419
539.108,300,631.137425
129.90392,300,631.137433
210.16432,300,631.13744
315.59442,300,631.137448
-228.77246,300,631.137455
395.61783,300,631.137461
-3092.4465,300,631.137468
321.3169,300,631.137474
211.66463,300,631.13748
402.79263,300,631.137486
295.45883,300,631.137492
347.5745,300,631.137498
509.44244,300,631.137504
394.45557,300,631.13751
481.3784,300,631.137516
219.51141,300,631.137522
-1086.9141,300,631.137528
441.71677,300,631.137534
173.7891,300,631.137539
332.88983,300,631.137545
369.72495,300,631.137551
218.28969,300,631.137557
87.37539,300,1279.469275
29.706533,300,1279.469371
460.07767,300,1279.469383
569.5575,300,1279.46939
277.85797,300,1279.469396
450.80737,300,1279.469403
258.11807,300,1279.469409
321.23267,300,1279.469415
302.16544,300,1279.469421
53.430973,300,1279.469428
198.82495,300,1279.469434
566.197,300,1279.46944
315.8561,300,1279.469448
413.17514,300,1279.469454
307.94107,300,1279.46946
264.65533,300,1279.469466
276.7693,300,1279.469472
284.77933,300,1279.469478
164.78029,300,1279.469484
380.97614,300,1279.46949
145.6574,300,1279.469496
370.0477,300,1279.469501
115.265724,300,1279.469508
47.70511,300,1279.469514
249.03784,300,1279.46952
305.59546,300,1279.469526
572.7314,300,1279.469532
22.22849,300,1279.469539
156.40453,300,1279.469545
175.31331,300,1279.46955
118.005905,300,1279.469558
171.38084,300,1279.469564
-2977.7866,300,1279.469571
122.70573,300,1279.469576
69.56042,300,1279.469582
444.66678,300,1279.469588
151.69038,300,1279.469594
272.1847,300,1279.469599
410.67944,300,1279.469605
393.6263,300,1279.469611
336.445,300,1279.469616
107.87385,300,1279.469622
47.795948,300,1279.469629
284.03864,300,1279.469634
62.380745,300,1279.46964
322.483,300,1279.469646
164.07126,300,1279.469652
241.50826,300,1279.469658
177.53395,300,1912.599733
86.44706,300,1912.59983
617.8924,300,1912.599848
593.35486,300,1912.599855
266.04572,300,1912.599862
549.98883,300,1912.599869
249.87428,300,1912.599875
544.3248,300,1912.599881
476.11865,300,1912.599888
127.84786,300,1912.599894
197.23016,300,1912.5999
634.72485,300,1912.599906
536.0351,300,1912.599913
385.33728,300,1912.599919
240.00917,300,1912.599925
404.10583,300,1912.599931
269.77582,300,1912.599937
394.58603,300,1912.599943
