#{"t_start": 1788796082.4845328, "env_id": "None"}
r,l,t
549.3285,300,677.597211
349.91656,300,677.597331
669.2424,300,677.597343
674.7625,300,677.597352
627.7188,300,677.597359
660.3898,300,677.597366
605.70874,300,677.597373
682.01385,300,677.597382
666.54865,300,677.59739
473.22388,300,677.597397
570.8113,300,677.597403
668.7256,300,677.597409
682.4955,300,677.597417
660.9419,300,677.597423
616.8362,300,677.597429
686.795,300,677.597435
625.6595,300,677.597441
636.99927,300,677.597447
472.72974,300,677.597453
668.0759,300,677.597459
494.27283,300,677.597465
675.58044,300,677.597471
523.3925,300,677.59748
379.17236,300,677.597487
587.352,300,677.597494
652.23474,300,677.597501
668.03156,300,677.597507
416.09668,300,677.597514
478.9772,300,677.59752
689.09973,300,677.597527
515.78925,300,677.597533
640.6726,300,677.597539
402.7263,300,677.597546
417.58643,300,677.597552
449.80783,300,677.597557
660.41205,300,677.597563
595.1303,300,677.597569
649.3813,300,677.597575
661.896,300,677.597581
676.4413,300,677.597587
678.18536,300,677.597593
628.9369,300,677.597598
248.05643,300,677.597605
665.95013,300,677.59761
695.0296,300,677.597616
678.3495,300,677.597622
616.72797,300,677.597628
607.36926,300,677.597635
690.07465,300,1357.784867
451.62833,300,1357.785053
784.172,300,1357.785069
780.19946,300,1357.785077
758.87146,300,1357.785084
775.2863,300,1357.78509
735.7381,300,1357.785097
813.2259,300,1357.785104
771.72205,300,1357.78511
581.22754,300,1357.785116
704.55695,300,1357.785124
785.001,300,1357.78513
809.87256,300,1357.78514
777.7201,300,1357.785146
766.7922,300,1357.785152
809.4149,300,1357.785158
752.006,300,1357.785173
755.4975,300,1357.78518
591.557,300,1357.785186
783.80554,300,1357.785192
631.1743,300,1357.785198
777.5839,300,1357.785204
659.5214,300,1357.785211
572.953,300,1357.785217
738.15546,300,1357.785223
774.7379,300,1357.785229
779.00336,300,1357.785236
536.5476,300,1357.785242
617.4691,300,1357.785248
812.7277,300,1357.785254
644.4679,300,1357.78526
765.2887,300,1357.785266
509.9962,300,1357.785275
515.1263,300,1357.785281
587.63,300,1357.785287
778.4838,300,1357.785293
743.0127,300,1357.785299
766.4931,300,1357.785305
783.1976,300,1357.78531
783.0708,300,1357.785317
819.1793,300,1357.785323
795.20575,300,1357.785329
451.8489,300,1357.785336
774.3507,300,1357.785341
806.6571,300,1357.785347
781.8417,300,1357.785353
750.4698,300,1357.785359
745.0734,300,1357.785365
697.5747,300,2020.998906
464.00635,300,2020.998992
788.829,300,2020.999003
791.09436,300,2020.999011
761.69147,300,2020.999017
782.14813,300,2020.999023
733.055,300,2020.999029
815.56836,300,2020.999035
778.84375,300,2020.999042
577.9601,300,2020.999048
696.0191,300,2020.999054
790.0289,300,2020.99906
815.8374,300,2020.999067
781.5817,300,2020.999073
760.68207,300,2020.999079
806.9817,300,2020.999085
753.07886,300,2020.999091
758.8045,300,2020.999098
610.792,300,2020.999104
788.2259,300,2020.99911
586.00336,300,2020.999116
784.23724,300,2020.999122
649.9309,300,2020.999129
572.3295,300,2020.999135
749.0596,300,2020.999141
779.08844,300,2020.999147
788.8724,300,2020.999154
517.43774,300,2020.99916
617.8085,300,2020.999171
810.003,300,2020.999177
627.99567,300,2020.999183
762.5336,300,2020.999189
472.67688,300,2020.999197
496.97134,300,2020.999203
587.50415,300,2020.999209
787.2456,300,2020.999215
746.11127,300,2020.999221
771.4938,300,2020.999226
785.36395,300,2020.999233
786.18225,300,2020.99924
809.8119,300,2020.999245
793.2938,300,2020.999251
456.62354,300,2020.999258
781.4937,300,2020.999264
808.7391,300,2020.99927
789.5834,300,2020.999276
753.2009,300,2020.999282
744.9967,300,2020.999288
698.8599,300,2720.785426
358.8837,300,2720.785506
788.9658,300,2720.785523
785.50024,300,2720.78553
761.07367,300,2720.785537
777.3551,300,2720.785544
736.7766,300,2720.785551
808.18274,300,2720.785557
780.22766,300,2720.785563
560.8284,300,2720.785569
701.2653,300,2720.785576
788.8822,300,2720.785582
813.10016,300,2720.785588
783.06494,300,2720.785598
754.66943,300,2720.785604
801.6045,300,2720.78561
754.7544,300,2720.785615
761.191,300,2720.785621
543.6303,300,2720.785627
785.28613,300,2720.785633
570.28314,300,2720.785639
781.2767,300,2720.785645
566.52435,300,2720.785652
532.6265,300,2720.785658
759.81335,300,2720.785664
776.779,300,2720.78567
788.80927,300,2720.785676
459.00098,300,2720.785682
613.295,300,2720.785688
792.5019,300,2720.785694
636.939,300,2720.7857
763.27277,300,2720.785706
376.41946,300,2720.785712
515.0986,300,2720.785719
537.1873,300,2720.785725
781.28986,300,2720.78573
755.85596,300,2720.785736
769.94745,300,2720.785742
787.256,300,2720.785748
791.4839,300,2720.785754
810.6603,300,2720.78576
796.5031,300,2720.785765
375.24493,300,2720.785774
775.3138,300,2720.78578
801.44867,300,2720.785786
784.33655,300,2720.785792
754.1459,300,2720.785797
751.47516,300,2720.785803
683.0392,300,3405.874014
417.4582,300,3405.874102
787.33124,300,3405.874114
782.86084,300,3405.874121
754.56464,300,3405.874128
776.03265,300,3405.874134
729.68677,300,3405.874141
801.51117,300,3405.874147
776.5063,300,3405.874153
561.7401,300,3405.874158
685.5941,300,3405.874172
784.96,300,3405.874178
803.6474,300,3405.874185
776.0857,300,3405.874192
755.7661,300,3405.874198
774.04517,300,3405.874203
749.64355,300,3405.874209
754.76685,300,3405.874215
593.65686,300,3405.874222
780.1058,300,3405.874227
626.6459,300,3405.874233
778.2052,300,3405.874239
639.76184,300,3405.874246
566.1351,300,3405.874253
738.75726,300,3405.874259
770.132,300,3405.874265
781.66876,300,3405.874272
467.13632,300,3405.874279
612.64044,300,3405.874285
786.18713,300,3405.874291
617.2182,300,3405.874296
755.3215,300,3405.874302
405.5953,300,3405.874309
512.82855,300,3405.874314
587.75507,300,3405.87432
778.1211,300,3405.874326
741.54724,300,3405.874332
763.19714,300,3405.874338
781.89343,300,3405.874344
784.6053,300,3405.874349
793.84766,300,3405.874355
783.6662,300,3405.874361
431.90625,300,3405.874367
767.39795,300,3405.874373
785.96674,300,3405.874379
783.2722,300,3405.874385
748.78937,300,3405.87439
742.5943,300,3405.874396
685.8078,300,4085.908559
402.70752,300,4085.908644
777.57294,300,4085.908655
776.80853,300,4085.908664
694.2884,300,4085.90867
773.65076,300,4085.908676
719.24286,300,4085.908682
783.42523,300,4085.908689
755.10114,300,4085.908695
545.0318,300,4085.908701
678.5764,300,4085.908707
777.8515,300,4085.908714
781.9954,300,4085.908729
775.59174,300,4085.908735
687.37134,300,4085.908741
755.3615,300,4085.908747
740.2704,300,4085.908753
745.0513,300,4085.90876
561.3682,300,4085.908766
779.57184,300,4085.908772
589.55835,300,4085.908777
776.6551,300,4085.908783
596.8857,300,4085.90879
561.392,300,4085.908796
735.7572,300,4085.908803
746.3614,300,4085.908808
777.759,300,4085.908814
456.88046,300,4085.908821
612.90137,300,4085.908827
776.496,300,4085.908834
617.83575,300,4085.90884
749.5012,300,4085.908846
404.97333,300,4085.908853
497.71707,300,4085.908859
573.34467,300,4085.908864
772.86255,300,4085.90887
740.7143,300,4085.908876
758.7303,300,4085.908882
777.90845,300,4085.908888
777.2998,300,4085.908893
748.46814,300,4085.908899
768.10187,300,4085.908905
420.8812,300,4085.908912
766.34265,300,4085.908917
785.4763,300,4085.908923
777.9695,300,4085.908929
745.7075,300,4085.908935
734.6784,300,4085.908941
669.58246,300,4762.628201
378.0859,300,4762.628287
770.68665,300,4762.628299
769.15155,300,4762.628307
731.2937,300,4762.628313
769.40106,300,4762.62832
699.18066,300,4762.628327
775.6864,300,4762.628333
750.4942,300,4762.628339
532.10516,300,4762.628345
661.5656,300,4762.628352
776.1314,300,4762.628358
769.7573,300,4762.628365
772.7405,300,4762.628371
731.9438,300,4762.628377
741.43085,300,4762.628383
718.4648,300,4762.628389
737.7124,300,4762.628395
537.09607,300,4762.628401
766.28784,300,4762.628407
582.3304,300,4762.628412
766.6483,300,4762.628418
574.9421,300,4762.628426
532.1628,300,4762.628432
734.66534,300,4762.628441
758.15717,300,4762.628447
766.7327,300,4762.628454
456.87292,300,4762.628461
589.61804,300,4762.628467
764.6078,300,4762.628473
597.5354,300,4762.628479
740.6574,300,4762.628484
410.53775,300,4762.628491
479.3192,300,4762.628497
552.12537,300,4762.628503
765.4935,300,4762.628509
735.4513,300,4762.628514
744.3086,300,4762.62852
773.6428,300,4762.628526
769.294,300,4762.628532
744.37177,300,4762.628538
772.27203,300,4762.628544
396.24246,300,4762.628551
760.8468,300,4762.628557
774.0983,300,4762.628562
773.8171,300,4762.628568
721.7994,300,4762.628574
718.8383,300,4762.628579
665.01416,300,5440.302804
369.43,300,5440.302883
770.87085,300,5440.302894
774.8709,300,5440.302902
748.0119,300,5440.302908
772.8356,300,5440.302915
710.19604,300,5440.302921
791.0414,300,5440.302927
758.9499,300,5440.302933
491.53705,300,5440.302939
660.0796,300,5440.302945
774.26074,300,5440.302951
788.299,300,5440.302958
775.4451,300,5440.302963
757.2393,300,5440.302969
761.7696,300,5440.302976
731.3351,300,5440.302981
739.6225,300,5440.302987
564.59106,300,5440.302993
777.57025,300,5440.302999
594.8952,300,5440.303005
774.8525,300,5440.30301
608.4628,300,5440.303017
453.3254,300,5440.303024
726.50366,300,5440.303029
768.5359,300,5440.303035
772.54047,300,5440.303042
449.3954,300,5440.303048
564.27496,300,5440.303054
773.88446,300,5440.30306
557.0167,300,5440.303066
741.9549,300,5440.303072
411.31686,300,5440.303079
446.2688,300,5440.303084
522.8227,300,5440.30309
778.09247,300,5440.303096
725.93066,300,5440.303102
750.3349,300,5440.303108
774.45703,300,5440.303113
766.8849,300,5440.303119
767.31177,300,5440.303125
767.04205,300,5440.303131
369.36298,300,5440.303138
764.2963,300,5440.303143
783.72406,300,5440.303149
780.0232,300,5440.303155
729.1657,300,5440.303161
718.94885,300,5440.303173
655.5175,300,6128.977477
392.0885,300,6128.977579
768.5854,300,6128.977591
773.0936,300,6128.977599
744.2897,300,6128.977606
763.38446,300,6128.977612
706.2207,300,6128.977618
784.2373,300,6128.977624
752.3771,300,6128.97763
540.3599,300,6128.977637
658.2236,300,6128.977643
777.6609,300,6128.977649
797.76917,300,6128.977656
772.9415,300,6128.977663
737.0695,300,6128.977669
764.51666,300,6128.977675
737.14355,300,6128.977681
744.76776,300,6128.977687
583.03674,300,6128.977694
774.0638,300,6128.9777
624.1313,300,6128.977706
767.8025,300,6128.977712
611.12415,300,6128.977719
516.3454,300,6128.977725
716.71674,300,6128.977731
744.48505,300,6128.977737
775.882,300,6128.977743
422.67328,300,6128.977749
593.3937,300,6128.977755
761.35156,300,6128.977761
575.9947,300,6128.977767
747.57904,300,6128.977772
385.6272,300,6128.97778
506.63712,300,6128.977786
501.24478,300,6128.977792
768.30457,300,6128.977798
706.6025,300,6128.977803
761.3993,300,6128.977809
772.73334,300,6128.977815
763.2011,300,6128.97782
796.6197,300,6128.977826
760.6121,300,6128.977832
378.79,300,6128.977839
771.3629,300,6128.977845
781.29443,300,6128.97785
774.65326,300,6128.977856
736.74023,300,6128.977862
719.12555,300,6128.977868
670.86053,300,6806.538507
369.24484,300,6806.538601
767.8569,300,6806.538612
