#{"t_start": 1788799453.9316144, "env_id": "None"}
r,l,t
667.58246,300,713.465001
361.88794,300,713.465108
638.03625,300,713.465122
378.0733,300,713.46513
575.8017,300,713.465137
503.8511,300,713.465144
189.1893,300,713.46515
331.3317,300,713.465158
667.29224,300,713.465166
626.17554,300,713.465172
669.0931,300,713.465178
392.28848,300,713.465184
475.1167,300,713.46519
382.40518,300,713.465197
523.7748,300,713.465203
262.80435,300,713.465208
654.7663,300,713.465214
257.0532,300,713.46522
592.20953,300,713.465226
346.3089,300,713.465232
134.88957,300,713.465237
300.70114,300,713.465243
374.45895,300,713.46525
668.43414,300,713.465256
111.10777,300,713.465261
49.247635,300,713.465268
243.86263,300,713.465274
137.206,300,713.465282
500.34717,300,713.465289
86.176346,300,713.465296
368.09744,300,713.465302
208.78899,300,713.465308
580.9834,300,713.465315
356.99323,300,713.465321
424.47302,300,713.465327
655.9771,300,713.465332
712.8385,300,713.465338
624.89777,300,713.465344
152.67351,300,713.46535
138.182,300,713.465356
584.3111,300,713.465361
90.05306,300,713.465368
635.3087,300,713.465375
424.22012,300,713.46538
318.74088,300,713.465386
656.1501,300,713.465393
488.8493,300,713.465398
589.4355,300,713.465404
622.5177,300,1405.747132
283.901,300,1405.747211
599.3598,300,1405.747222
260.25592,300,1405.747229
533.47253,300,1405.747235
430.14938,300,1405.747241
-680.1949,300,1405.747247
243.05147,300,1405.747253
607.98157,300,1405.747259
554.69794,300,1405.747265
583.7023,300,1405.747272
315.36182,300,1405.747278
352.8636,300,1405.747285
274.225,300,1405.74729
477.7453,300,1405.747297
174.90182,300,1405.747303
596.8628,300,1405.747308
215.39648,300,1405.747314
537.0174,300,1405.74732
282.01584,300,1405.747326
-291.7962,300,1405.747332
228.21399,300,1405.747337
331.72382,300,1405.747344
619.9153,300,1405.74735
-1454.6766,300,1405.747355
151.90326,300,1405.747361
337.58395,300,1405.747367
-158.22891,300,1405.747374
446.20312,300,1405.747379
-2990.2388,300,1405.747386
290.74945,300,1405.747391
187.40634,300,1405.747397
556.2588,300,1405.747403
303.66922,300,1405.747409
363.1284,300,1405.747415
597.9709,300,1405.747421
637.8911,300,1405.747426
568.18225,300,1405.747432
194.62692,300,1405.747437
-1147.0455,300,1405.747443
521.5334,300,1405.747449
218.95697,300,1405.747462
539.073,300,1405.747468
362.3774,300,1405.747474
229.62209,300,1405.74748
602.84644,300,1405.747486
380.1597,300,1405.747492
541.1537,300,1405.747498
683.3368,300,2075.855666
303.72766,300,2075.855744
645.14764,300,2075.855756
307.0861,300,2075.855763
552.8585,300,2075.855769
532.07825,300,2075.855776
-29.127281,300,2075.855782
305.66705,300,2075.855788
694.93256,300,2075.855794
627.3796,300,2075.8558
673.3555,300,2075.855807
396.7498,300,2075.855813
430.99942,300,2075.855819
317.76404,300,2075.855825
492.78027,300,2075.855831
223.32394,300,2075.855837
651.5097,300,2075.855843
240.54387,300,2075.855849
582.0837,300,2075.855855
299.30893,300,2075.85586
137.75531,300,2075.855866
278.32916,300,2075.855872
363.72928,300,2075.85588
691.9611,300,2075.855885
-1232.4415,300,2075.855891
188.4932,300,2075.855898
154.34663,300,2075.855904
163.09279,300,2075.855911
471.02344,300,2075.855917
-2888.4937,300,2075.855922
314.5736,300,2075.855929
211.1039,300,2075.855935
588.5366,300,2075.855942
320.65427,300,2075.855948
429.05,300,2075.855954
654.1946,300,2075.85596
751.8601,300,2075.855966
617.4346,300,2075.855972
214.06108,300,2075.855977
136.64554,300,2075.855983
559.3774,300,2075.855989
274.78613,300,2075.855995
648.90155,300,2075.856001
423.0997,300,2075.856007
277.39398,300,2075.856013
672.98126,300,2075.856019
446.24066,300,2075.856025
583.46173,300,2075.85603
623.3686,300,2749.314408
304.19965,300,2749.314493
575.94714,300,2749.314505
304.69583,300,2749.314512
510.69098,300,2749.314518
517.1003,300,2749.314525
126.01884,300,2749.314532
258.10574,300,2749.314538
634.62775,300,2749.314544
548.02026,300,2749.31455
678.0088,300,2749.314558
328.22818,300,2749.314568
448.2888,300,2749.314575
371.49023,300,2749.314581
495.5231,300,2749.314588
212.48895,300,2749.314593
589.3265,300,2749.314599
198.25774,300,2749.314605
562.3518,300,2749.31461
257.01834,300,2749.314616
110.107445,300,2749.314622
271.6523,300,2749.314628
383.25153,300,2749.314635
627.895,300,2749.314641
-1517.7637,300,2749.314647
174.88644,300,2749.314654
363.40454,300,2749.31466
124.904526,300,2749.314666
410.4029,300,2749.314672
-3012.8171,300,2749.314678
269.89368,300,2749.314684
150.38254,300,2749.31469
583.12115,300,2749.314696
297.05878,300,2749.314703
400.07828,300,2749.314708
574.5902,300,2749.314714
744.65015,300,2749.314719
533.1948,300,2749.314725
205.79672,300,2749.314731
113.13968,300,2749.314737
496.597,300,2749.314742
236.32613,300,2749.314748
626.919,300,2749.314754
390.3168,300,2749.31476
268.4371,300,2749.314766
617.22845,300,2749.314771
289.3601,300,2749.314777
497.83392,300,2749.314782
615.60266,300,3425.919206
264.56177,300,3425.919282
567.3044,300,3425.919293
240.09497,300,3425.9193
510.3516,300,3425.919307
483.92426,300,3425.919313
173.99878,300,3425.919319
214.41211,300,3425.919325
625.47345,300,3425.919331
525.80493,300,3425.919337
624.92346,300,3425.919343
313.7463,300,3425.919349
428.37872,300,3425.919356
258.37784,300,3425.919362
415.4673,300,3425.919367
173.56392,300,3425.919373
580.18225,300,3425.919379
240.11183,300,3425.919385
507.38467,300,3425.919391
304.4932,300,3425.919396
130.20587,300,3425.919402
243.15993,300,3425.919408
299.26202,300,3425.919414
624.9172,300,3425.919421
123.27557,300,3425.919427
185.39188,300,3425.919433
390.1999,300,3425.919439
152.19974,300,3425.919445
396.52777,300,3425.919457
53.74139,300,3425.919463
313.37955,300,3425.919469
199.10378,300,3425.919475
485.01968,300,3425.919482
319.92374,300,3425.919488
349.9252,300,3425.919494
581.7593,300,3425.9195
737.446,300,3425.919506
542.83154,300,3425.919511
195.65967,300,3425.919518
133.25006,300,3425.919523
466.66098,300,3425.919529
246.13501,300,3425.919535
618.4157,300,3425.919541
355.08755,300,3425.919548
204.54153,300,3425.919553
605.22626,300,3425.919559
458.67526,300,3425.919564
502.50958,300,3425.91957
694.8374,300,4112.642146
312.60913,300,4112.642225
663.6293,300,4112.642236
259.34894,300,4112.642244
618.4519,300,4112.64225
621.6261,300,4112.642256
163.91895,300,4112.642262
218.79265,300,4112.642269
701.27,300,4112.642275
653.90186,300,4112.642281
684.9775,300,4112.642287
387.3756,300,4112.642292
547.09296,300,4112.642299
300.48047,300,4112.642305
510.1355,300,4112.642311
167.22978,300,4112.642317
664.9772,300,4112.642323
215.9569,300,4112.642328
626.6572,300,4112.642334
313.65692,300,4112.64234
96.35212,300,4112.642346
268.30063,300,4112.642352
399.25412,300,4112.642358
704.81744,300,4112.642364
100.57304,300,4112.64237
152.73323,300,4112.642376
488.57483,300,4112.642382
131.75658,300,4112.642388
465.211,300,4112.642394
37.96228,300,4112.6424
338.70667,300,4112.642406
178.44893,300,4112.642412
632.5354,300,4112.642418
355.8316,300,4112.642424
399.45206,300,4112.64243
682.62805,300,4112.642436
771.6621,300,4112.642441
632.3108,300,4112.642447
262.80334,300,4112.642458
97.38867,300,4112.642464
578.087,300,4112.64247
337.40646,300,4112.642475
707.90497,300,4112.642482
428.4821,300,4112.642488
234.47963,300,4112.642493
703.0655,300,4112.642499
554.4022,300,4112.642505
597.8044,300,4112.642511
674.09863,300,4804.133096
403.98694,300,4804.133176
665.38403,300,4804.133187
346.85043,300,4804.133195
615.18555,300,4804.133201
596.9187,300,4804.133208
-147.82486,300,4804.133214
248.56535,300,4804.13322
677.62976,300,4804.133226
631.8702,300,4804.133232
671.053,300,4804.133238
420.72836,300,4804.133244
552.54224,300,4804.133251
394.26212,300,4804.133257
558.9229,300,4804.133263
190.02,300,4804.133269
659.3419,300,4804.133274
279.15927,300,4804.13328
633.8665,300,4804.133286
341.21893,300,4804.133292
105.769714,300,4804.133298
334.45203,300,4804.133304
460.0681,300,4804.133314
679.8556,300,4804.133321
-672.19073,300,4804.133327
203.29335,300,4804.133333
489.09482,300,4804.133339
171.6382,300,4804.133345
517.8426,300,4804.133352
66.21038,300,4804.133358
371.39886,300,4804.133363
